,t_ArticleName,t_Url,t_DOI,t_PublishedDate,t_SourceTitle,t_Authors,t_Type,t_Keyword1,t_Keyword2,t_ID
132,Death by complete decapitation of motorcyclist wearing full face helmet: Case report,http://www.sciencedirect.com/science/article/pii/S0379073810005529/pdfft?md5=faa0cd0ce6c99759741999b93f2556c3&pid=1-s2.0-S0379073810005529-main.pdf,10.1016/j.forsciint.2010.12.010,4/15/11,Forensic Science International,Riccardo Zoja & Guendalina Gentile & Giulio Federico Giovanetti & Elisa Palazzo,Short communication,Blunt trauma,Testing,106475
133,"Synthesis and anti-HIV activity of 9-[(2R-5R)-2,5-dihydro-5-(phosphonomethoxy)-2-furanyl]-2,6-diaminopurine",http://www.sciencedirect.com/science/article/pii/S0960894X01802067/pdfft?md5=406e58a4d54b684af831472bf752e07e&pid=1-s2.0-S0960894X01802067-main.pdf,10.1016/S0960-894X(01)80206-7,12/31/92,Bioorganic & Medicinal Chemistry Letters,Choung Un Kim & Bing Y. Luh & John C. Martin,Research article,Hemorrhagic shock,Parameters,307604
134,Autoimmune thrombocytopenia in women with carcinoma of the uterine cervix developing after cisplatin and radiation therapy,http://www.sciencedirect.com/science/article/pii/S1470032802016038/pdfft?md5=ced0af6c5ad086a20d30dbf6788ba8a7&pid=1-s2.0-S1470032802016038-main.pdf,CANNOT GET ACCESS,1/31/02,BJOG: An International Journal of Obstetrics and Gynaecology,Akira Mitsuhashi & Koji Yamazawa & Naotake Tanaka & Souei Sekiya,Short communication,Disseminated intravascular coagulation,Immunoglobulins,57189
135,Maternal and fetal hazards of surgery during pregnancy,http://www.sciencedirect.com/science/article/pii/0002937865907222/pdfft?md5=fae69948ab7888e77eba703554664acd&pid=1-s2.0-0002937865907222-main.pdf,10.1016/0002-9378(65)90722-2,8/1/65,American Journal of Obstetrics and Gynecology,Sol M. Shnider & Grace Margaret Webster,Research article,Hemorrhagic shock,Lactate,189468
136,Aneurysm of the renal artery,http://www.sciencedirect.com/science/article/pii/0002961057905962/pdfft?md5=a3ab9b5e380728ba4c3fbb9811fe7568&pid=1-s2.0-0002961057905962-main.pdf,10.1016/0002-9610(57)90596-2,10/31/57,The American Journal of Surgery,Anthony P. Garritano,Review article,Hemorrhagic shock,Diagnostic,48479
137,Failure of mestranol alone or with norethynodrel to prepare for the generalized Shwartzman reaction in rats,http://www.sciencedirect.com/science/article/pii/0002937870905879/pdfft?md5=9d01dbf925fbe30f8ef62b3921b22d12&pid=1-s2.0-0002937870905879-main.pdf,10.1016/0002-9378(70)90587-9,5/15/70,American Journal of Obstetrics and Gynecology,Louise Lang Phillips & Faye J. Calhoun & Henry B. Soloway,Research article,Disseminated intravascular coagulation,Platelet count,299074
138,Brachial plexus paralysis following administration of tetanus antitoxin,http://www.sciencedirect.com/science/article/pii/0002961058904501/pdfft?md5=20e99fca6fdba8453b58a511a9ab9dc1&pid=1-s2.0-0002961058904501-main.pdf,10.1016/0002-9610(58)90450-1,4/30/58,The American Journal of Surgery,L. Terrell Tyler & I. W. Kaplan & Richard W. Levy,Research article,Hemorrhagic shock,Diagnosis,34010
139,Developing a Process to Support Perinatal Nurses After a Critical Event,http://www.sciencedirect.com/science/article/pii/S1751485115301318/pdfft?md5=43292200dc458fc686439f9736bbc9b5&pid=1-s2.0-S1751485115301318-main.pdf,10.1111/1751-486X.12094,3/31/14,Nursing for Women's Health,Suzan Foreman,Research article,Disseminated intravascular coagulation,(NO),255835
140,Field perimortem cesarean section,http://www.sciencedirect.com/science/article/pii/S1067991X01700478/pdfft?md5=2895cc68801d90dcafd8bbae3c00bc3b&pid=1-s2.0-S1067991X01700478-main.pdf,10.1016/S1067-991X(01)70047-8,8/31/01,Air Medical Journal,Wilson Bowers & Christopher Wagner,Research article,Blunt trauma,Testing,107003
141,Laparoscopic-assisted resection of juvenile polyp of the jejunum in a 3-year-old girl,http://www.sciencedirect.com/science/article/pii/S0022346811009481/pdfft?md5=5625b3a9fd7974e26affa9b9c97aad3c&pid=1-s2.0-S0022346811009481-main.pdf,10.1016/j.jpedsurg.2011.10.063,2/29/12,Journal of Pediatric Surgery,Silvia Ceccanti & Simone Frediani & Fabio Manganaro & Maria Barbato & Denis A. Cozzi,Research article,Blood loss,Neutrophils,19361
142,Prevention of gastrointestinal bleeding in burns: The effects of cimetidine or antacids combined with early enteral feeding,http://www.sciencedirect.com/science/article/pii/0305417985901858/pdfft?md5=a7b43d9959587ec2c8230b175e14d6b5&pid=1-s2.0-0305417985901858-main.pdf,10.1016/0305-4179(85)90185-8,10/31/85,Burns,R. Moscona & T. Kaufman & R. Jacobs & B. Hirshowitz,Research article,Hemorrhagic shock,Lactate,188571
143,Subcapsular hematoma of the graft after liver transplantation,http://www.sciencedirect.com/science/article/pii/S0041134504003926/pdfft?md5=363acc15ca7486b3551087b2b2926f7e&pid=1-s2.0-S0041134504003926-main.pdf,10.1016/j.transproceed.2004.03.120,5/31/04,Transplantation Proceedings,P. C. B Massarollo & M. E Shiroma & A. J Rodrigues & S Mies,Research article,Hemorrhagic shock,(NO),229693
144,Delayed Aortic Rupture After Aortic Endograft Placement in Patient With Spinal Hardware,http://www.sciencedirect.com/science/article/pii/S000349751101006X/pdfft?md5=b051d17aee9316ac7e45acde190cb06c&pid=1-s2.0-S000349751101006X-main.pdf,10.1016/j.athoracsur.2011.04.041,10/31/11,The Annals of Thoracic Surgery,Charudatta Bavare & Min Kim & Shanda Blackmon & Warren Ellsworth & Michael J. Reardon,Short communication,Hemorrhagic shock,Diagnostic,45740
145,Treatment of hypotony maculopathy caused by traumatic cyclodialysis,http://www.sciencedirect.com/science/article/pii/S2211505611000329/pdfft?md5=943f9f1d5bf29930c5d8f4b0b4e2561c&pid=1-s2.0-S2211505611000329-main.pdf,10.1016/j.tjo.2011.12.001,3/31/12,Taiwan Journal of Ophthalmology,Chih-Chung Lin & Gow-Lieng Tseng & Chun-Chen Chen & Lin-Chung Woung & Shiow-Wen Liou,Short communication,Blunt trauma,Ultrasound,153670
146,A Rare Cause of Life-Threatening Upper Gastrointestinal Bleeding,http://www.sciencedirect.com/science/article/pii/S154235651500974X/pdfft?md5=47930101451f81bae6cb3ef9ebee510b&pid=1-s2.0-S154235651500974X-main.pdf,10.1016/j.cgh.2015.07.016,3/31/16,Clinical Gastroenterology and Hepatology,CrinÃ_ Stefano Francesco & Armellini Elia & Occhipinti Pietro,Short communication,Hemorrhagic shock,Parameters,305692
147,Exercise and Reversed Pupillary Block in Pigmentary Glaucoma,http://www.sciencedirect.com/science/article/pii/S0002939414737675/pdfft?md5=c60b7c4a09c7716f37c96e81431ca614&pid=1-s2.0-S0002939414737675-main.pdf,10.1016/S0002-9394(14)73767-5,7/31/95,American Journal of Ophthalmology,Peter Koch Jensen & Ole Nissen & Svend Vedel Kessing,Short communication,Blunt trauma,Ultrasound,153551
148,Volume contents,http://www.sciencedirect.com/science/article/pii/026643569390208E/pdfft?md5=7856461078b1d03c19ad406133dc63a6&pid=1-s2.0-026643569390208E-main.pdf,10.1016/0266-4356(93)90208-E,12/31/93,British Journal of Oral and Maxillofacial Surgery,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Marker,182342
149,Comparative efficacy of teicoplanin and cefazolin for cardiac operation prophylaxis in 3027 patients,http://www.sciencedirect.com/science/article/pii/S0022522300535454/pdfft?md5=1b9db5c6933e4ba04b7533842f1e2dec&pid=1-s2.0-S0022522300535454-main.pdf,10.1067/mtc.2000.110384,12/31/00,The Journal of Thoracic and Cardiovascular Surgery,Raphael Saginur & Daniel Croteau & Michel G. Bergeron & The ESPRIT Group*,Research article,Blood loss,Neutrophils,21341
150,An orthopedic nurse practitioner's practical guide to evaluating knee injuries,http://www.sciencedirect.com/science/article/pii/S0099176703002654/pdfft?md5=50845e277c7cb848b54c7d3918a34d62&pid=1-s2.0-S0099176703002654-main.pdf,10.1067/men.2003.133,8/31/03,Journal of Emergency Nursing,Kathleen Rourke,Research article,Blunt trauma,Testing,107192
151,Dengue Virus (Serotype 3) Circulation in Endemic Countries and Its Reappearance in America,http://www.sciencedirect.com/science/article/pii/S0188440900000825/pdfft?md5=c6bbe690fadb79820070b769281d4eaf&pid=1-s2.0-S0188440900000825-main.pdf,10.1016/S0188-4409(00)00082-5,8/31/00,Archives of Medical Research,Raymunda Figueroa & Celso Ramos,Research article,Hemorrhagic shock,(NO),233172
152,Two stage reconstruction with revascularized grafts after resection of retromolar and oropharyngeal carcinoma,http://www.sciencedirect.com/science/article/pii/S0901502703003047/pdfft?md5=b8e8cb574fc2247857b116fc9d10ecda&pid=1-s2.0-S0901502703003047-main.pdf,10.1016/j.ijom.2003.10.022,9/30/04,International Journal of Oral and Maxillofacial Surgery,C Kermer & F Ziya-Ghazvini & P. W Poeschl & C Klug,Research article,Hemorrhagic shock,(NO),234191
153,Disseminated candidiasis mimicking leukocytoclastic vasculitis,http://www.sciencedirect.com/science/article/pii/S019096220501039X/pdfft?md5=22dba10b5f51b4d41fa7703287250967&pid=1-s2.0-S019096220501039X-main.pdf,10.1016/j.jaad.2005.03.059,9/30/05,Journal of the American Academy of Dermatology,Adrienne S. Glaich & Richard A. Krathen & Megan J. Smith & Sylvia Hsu,Short communication,Blood loss,Neutrophils,18764
154,Effect of haemolysis on reticuloendothelial system (RES) phagocytic activity in rats,http://www.sciencedirect.com/science/article/pii/030541799190041E/pdfft?md5=674933b8fa143f55a758d5368c910547&pid=1-s2.0-030541799190041E-main.pdf,10.1016/0305-4179(91)90041-E,8/31/91,Burns,M. Trop & E. R. Schiffrin & E. A. Carter,Research article,Hemorrhagic shock,Hemoglobin,94049
155,Iatrogenic peritonitis following an incident during ablation of a pedicle screw,http://www.sciencedirect.com/science/article/pii/S1877056818300203/pdfft?md5=0060cb6674e2b92e1b5fa16d78c2bcba&pid=1-s2.0-S1877056818300203-main.pdf,10.1016/j.otsr.2017.12.008,5/31/18,Orthopaedics & Traumatology: Surgery & Research,P. Cottin & N. Mebtouche & G. Pourcher & N. Devaquet & B. Sztrymf,Short communication,Hemorrhagic shock,(NO),229677
156,Antileukemic effect of paclitaxel in combination with metformin in HL-60 cell line,http://www.sciencedirect.com/science/article/pii/S0378111918300246/pdfft?md5=8620fd26259495ae8e3977f7ba85beaa&pid=1-s2.0-S0378111918300246-main.pdf,10.1016/j.gene.2018.01.017,3/20/18,Gene,Aycan Asik & Cagla Kayabasi & Besra Ozmen Yelken & Sunde YÄ±lmaz Susluer & Cumhur Gunduz,Research article,Disseminated intravascular coagulation,Neutrophils,208975
157,Retinal Tacks,http://www.sciencedirect.com/science/article/pii/0002939485903551/pdfft?md5=98758973de8f3a3d8d2dce1e1ad736fc&pid=1-s2.0-0002939485903551-main.pdf,10.1016/0002-9394(85)90355-1,3/31/85,American Journal of Ophthalmology,Eugene de Juan & Dyson Hickingbotham & Robert Machemer,Research article,Blunt trauma,Ultrasound,157082
158,Contents of volume 122,http://www.sciencedirect.com/science/article/pii/0002961071904624/pdfft?md5=b2e5f2c1ecca1febef92045c93ec1d13&pid=1-s2.0-0002961071904624-main.pdf,10.1016/0002-9610(71)90462-4,12/31/71,The American Journal of Surgery,CANNOT GET ACCESS,,Hemorrhagic shock,Lactate,189331
159,"Resuscitation in haemorrhagic shock -pulmonary and renal effects: An adverse effect of stabil ised plasma protein solution on renal function? : Ramsay, G., Ledingham, I.McA. Department of Surgery, Western Infirmary, Glasgow G11 6NT, U.K. CIRC. SHOCK, 22(3) (1987) 261â€“268",http://www.sciencedirect.com/science/article/pii/0300957288900627/pdfft?md5=29a680af465b45637a12fd57fcbb2fcc&pid=1-s2.0-0300957288900627-main.pdf,10.1016/0300-9572(88)90062-7,7/31/88,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Pathologic,317105
160,Which indicators used to assess quality performance in Intensive Care Units? A systematic review of medical literature,http://www.sciencedirect.com/science/article/pii/S2352556817303958/pdfft?md5=fddd442dac2de96fe893b011ff170ec9&pid=1-s2.0-S2352556817303958-main.pdf,10.1016/j.accpm.2018.06.003,12/31/18,Anaesthesia Critical Care & Pain Medicine,Hajer Nouira & Asma Ben Abdelaziz & Meriem Kacem & Habiba Ben Sik Ali & Ahmed Ben Abdelaziz,Short communication,Hemorrhagic shock,(NO),231130
161,Optical coherence tomography of bilateral posterior microphthalmos with papillomacular fold and novel features of retinoschisis and dialysis,http://www.sciencedirect.com/science/article/pii/S0002939404003356/pdfft?md5=97fdc1a6e3df4b41f96a467d2382aac1&pid=1-s2.0-S0002939404003356-main.pdf,10.1016/j.ajo.2004.03.015,9/30/04,American Journal of Ophthalmology,Joshua W. Kim & David A. Boes & James L. Kinyoun,Short communication,Blunt trauma,Testing,105486
162,Effect of gastrointestinal secretions on the formation of hemorrhagic intestinal necrosis in Escherichia coli endotoxin shock,http://www.sciencedirect.com/science/article/pii/0002961066901760/pdfft?md5=8dd94c58048cc6042943174597f684d3&pid=1-s2.0-0002961066901760-main.pdf,10.1016/0002-9610(66)90176-0,6/30/66,The American Journal of Surgery,William E. Evans & Richard T. Shore & Larry C. Carey & Joseph C. Darin,Research article,Hemorrhagic shock,Pathologic,318643
163,Impact of body mass index in spinal surgery for degenerative lumbar spine disease,http://www.sciencedirect.com/science/article/pii/S0303846714003783/pdfft?md5=da21139fc69eec0f061c58d2907a46f8&pid=1-s2.0-S0303846714003783-main.pdf,10.1016/j.clineuro.2014.09.016,12/31/14,Clinical Neurology and Neurosurgery,Benedito J. A. Pereira & Carlos Vanderlei M. de Holanda & Carlos A. A. Ribeiro & Samuel Miranda de Moura & Jean G. de Oliveira,Research article,Blood loss,Neutrophils,19639
164,"Tertiary cytoreduction in patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer: An updated series",http://www.sciencedirect.com/science/article/pii/S0090825810001241/pdfft?md5=12a907cc99dc2eb64cc265a094597088&pid=1-s2.0-S0090825810001241-main.pdf,10.1016/j.ygyno.2010.01.046,5/31/10,Gynecologic Oncology,K. K. Shih & D. S. Chi & R. R. Barakat & M. M. Leitao,Research article,Disseminated intravascular coagulation,Independent predictors,43922
165,Properties of antithrombin III depleted plasma I. Effect of heparin,http://www.sciencedirect.com/science/article/pii/0049384880902996/pdfft?md5=a29014c2b5978e30198949f9d952f600&pid=1-s2.0-0049384880902996-main.pdf,10.1016/0049-3848(80)90299-6,1/15/80,Thrombosis Research,E. Holmer & G. SÃ¶derstrÃ¶m & L. -O. Andersson,Research article,Disseminated intravascular coagulation,IgG,90898
166,Congenital esophagobronchial fistula in an adult,http://www.sciencedirect.com/science/article/pii/S0022522319361963/pdfft?md5=76d004a83a274d5540f1bed1846d9975&pid=1-s2.0-S0022522319361963-main.pdf,10.1016/S0022-5223(19)36196-3,11/30/87,The Journal of Thoracic and Cardiovascular Surgery,Samuel J. Lang & Donald G. Mulder,Short communication,Blunt trauma,Temperature,131015
167,Maternal mortality in the American University of Beirut Medical Center (AUBMC) 1971â€“1982,http://www.sciencedirect.com/science/article/pii/0020729284900821/pdfft?md5=828204e303ef5a76ec9e7f5ece736021&pid=1-s2.0-0020729284900821-main.pdf,10.1016/0020-7292(84)90082-1,8/31/84,International Journal of Gynecology & Obstetrics,Ibrahim Mashini & Adnan Mroueh & Hamid Hadi,Research article,Hemorrhagic shock,Diagnostic,47645
168,A very late onset urethral fistula coexisting with skin bridge after neonatal circumcision: A case report,http://www.sciencedirect.com/science/article/pii/S0022346802631525/pdfft?md5=acb9bd95c9be1aa334f49f61f0595109&pid=1-s2.0-S0022346802631525-main.pdf,10.1053/jpsu.2003.50143,4/30/03,Journal of Pediatric Surgery,Mesut YazÄ±cÄ± & Barlas Etensel & Harun GÃ_rsoy,Research article,Hemorrhagic shock,(NO),233179
169,Traumatic Rupture of Healed Cataract Wounds,http://www.sciencedirect.com/science/article/pii/0002939476903524/pdfft?md5=88adccf7ac435f6bd3d95c8a5da5f10b&pid=1-s2.0-0002939476903524-main.pdf,10.1016/0002-9394(76)90352-4,6/30/76,American Journal of Ophthalmology,Michael A. Kass & Moshe Lahav & Daniel M. Albert,Research article,Blunt trauma,Sodium,25255
170,Critical Care Monitoring 9:30 am-10:30 am,http://www.sciencedirect.com/science/article/pii/S0012369215436323/pdfft?md5=83375288091c9b20150521d76ca3691f&pid=1-s2.0-S0012369215436323-main.pdf,10.1378/chest.112.3_Supplement.4S,9/30/97,Chest,CANNOT GET ACCESS,,Hemorrhagic shock,Marker,196044
171,Obstetrical mortality in Edmonton for ten years (1939â€“1948),http://www.sciencedirect.com/science/article/pii/0002937850904200/pdfft?md5=664b0930f086741c51a3a0cf258ccc51&pid=1-s2.0-0002937850904200-main.pdf,10.1016/0002-9378(50)90420-0,9/30/50,American Journal of Obstetrics and Gynecology,A. H. Maclennan,Research article,Hemorrhagic shock,Glucose,77821
172,The value of cauterization of the cervix before hysterectomy,http://www.sciencedirect.com/science/article/pii/S0002937815304439/pdfft?md5=32af4abdb058bacb58597c49c7b57a99&pid=1-s2.0-S0002937815304439-main.pdf,10.1016/S0002-9378(15)30443-9,12/31/26,American Journal of Obstetrics and Gynecology,B. Z. Cashman,Research article,Hemorrhagic shock,Diagnosis,34005
173,The relationship between pregnancy intendedness and physical violence in mothers of newborns,http://www.sciencedirect.com/science/article/pii/002978449500057X/pdfft?md5=0d6727f3b8d265ae2422c4089168a473&pid=1-s2.0-002978449500057X-main.pdf,10.1016/0029-7844(95)00057-X,6/30/95,Obstetrics & Gynecology,Julie A. Gazmararian & Melissa M. Adams & Linda E. Saltzman & Christopher H. Johnson & The Prams Working Group,Research article,Blunt trauma,Risk factors,12649
174,Tracheoesophageal fistula from an indwelling endotracheal tube balloon: a report of two cases and review,http://www.sciencedirect.com/science/article/pii/S0016510700704299/pdfft?md5=771dc3d2903ad9a753d09d435456b9a6&pid=1-s2.0-S0016510700704299-main.pdf,10.1016/S0016-5107(00)70429-9,2/29/00,Gastrointestinal Endoscopy,Kevin P. Collier & Richard S. Zubarik & James H. Lewis,Research article,Blunt trauma,Risk factors,11338
175,NON-PARENTERAL TRANSMISSION OF CYTOMEGALOVIRUS IN A NEONATAL INTENSIVE CARE UNIT,http://www.sciencedirect.com/science/article/pii/S0140673681904736/pdfft?md5=61b0c8059cd7f72e28812493187fe54d&pid=1-s2.0-S0140673681904736-main.pdf,10.1016/S0140-6736(81)90473-6,8/1/81,The Lancet,Inge Gurevich & BurkeA. Cunha,Research article,Disseminated intravascular coagulation,IgG,88425
176,Uterine rupture â€” an analysis of 81 cases in Conakry/Guinea,http://www.sciencedirect.com/science/article/pii/002072929090349P/pdfft?md5=de21741984d7c2300526583e7a5a2895&pid=1-s2.0-002072929090349P-main.pdf,10.1016/0020-7292(90)90349-P,7/31/90,International Journal of Gynecology & Obstetrics,M. D. Balde & G. P. Breitbach & G. Bastert,Research article,Hemorrhagic shock,Diagnostic,47400
177,Bivalve cartilage inlay myringoplasty: An office-based procedure for closing small to medium-sized tympanic membrane perforations,http://www.sciencedirect.com/science/article/pii/S0194599808013016/pdfft?md5=dcdd9913bb6bc27c60cc3af063a62a60&pid=1-s2.0-S0194599808013016-main.pdf,10.1016/j.otohns.2008.08.007,11/30/08,Otolaryngology - Head and Neck Surgery,Ashkan Monfared & Chris M. Bergeron & Justin Ortiz & Howard Lee & Richard Gunsalus,Research article,Blunt trauma,Testing,107627
178,Nontraumatic Rupture of the Globe Secondary to Orbital Cellulitis,http://www.sciencedirect.com/science/article/pii/000293947990477X/pdfft?md5=cc6e0812ef7eb3077cf868356f88d77b&pid=1-s2.0-000293947990477X-main.pdf,10.1016/0002-9394(79)90477-X,8/31/79,American Journal of Ophthalmology,S. Lance Forstot & Philip P. Ellis,,Blunt trauma,White blood cell count,160518
179,Table of Contents,http://www.sciencedirect.com/science/article/pii/S1051044309002383/pdfft?md5=0cb40c2aaa66f1288df9f90e590ae674&pid=1-s2.0-S1051044309002383-main.pdf,10.1016/S1051-0443(09)00238-3,5/31/09,Journal of Vascular and Interventional Radiology,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Platelet count,299997
180,Risk of Retinal Detachment in Patients with Lattice Degeneration,http://www.sciencedirect.com/science/article/pii/S0021515598000124/pdfft?md5=e4270ef0e8319795110bca7be880c340&pid=1-s2.0-S0021515598000124-main.pdf,10.1016/S0021-5155(98)00012-4,8/31/98,Japanese Journal of Ophthalmology,Kiwamu Sasaki & Hidenao Ideta & Junichi Yonemoto & Sumiyoshi Tanaka & Chitoshi Oka,Research article,Blunt trauma,Risk factors,10943
181,A SHORT SMALL INTESTINE ASSOCIATED WITH FIBROSIS OF THE LIVER,http://www.sciencedirect.com/science/article/pii/S0140673656913460/pdfft?md5=df69fe4f37805cedd3f5c66228549566&pid=1-s2.0-S0140673656913460-main.pdf,10.1016/S0140-6736(56)91346-0,6/9/56,The Lancet,C. Raeburn & A. J. Brafield,Research article,Blood loss,Neutrophils,22427
182,Non-Dupuytren's Disease of the Palmar Fascia,http://www.sciencedirect.com/science/article/pii/S0266768105002767/pdfft?md5=19bc9b0f5ba7c3a80b21295155f959e5&pid=1-s2.0-S0266768105002767-main.pdf,10.1016/j.jhsb.2005.08.004,12/31/05,The Journal of Hand Surgery: British & European Volume,G. M. Rayan & J. Moore,Research article,Blunt trauma,Risk factors,11056
183,Combined abdominoperineal resection for carcinoma of the rectum,http://www.sciencedirect.com/science/article/pii/0002961051902772/pdfft?md5=e297239261a027b51b6c15102f6727a1&pid=1-s2.0-0002961051902772-main.pdf,10.1016/0002-9610(51)90277-2,5/31/51,The American Journal of Surgery,Mell B. Welborn,Research article,Hemorrhagic shock,Diagnosis,34500
184,Nucleated red blood cells and heatstroke prognosis,http://www.sciencedirect.com/science/article/pii/S1041782610000186/pdfft?md5=56594f6d7c35fcf1e833095a0c60a45b&pid=1-s2.0-S1041782610000186-main.pdf,CANNOT GET ACCESS,3/31/10,Advances in Small Animal Medicine and Surgery,CANNOT GET ACCESS,,Disseminated intravascular coagulation,Marker,179854
185,Subject index volume 12,http://www.sciencedirect.com/science/article/pii/000291496390300X/pdfft?md5=465acac27b820170d0bb8f1283ebdc26&pid=1-s2.0-000291496390300X-main.pdf,10.1016/0002-9149(63)90300-X,12/31/63,The American Journal of Cardiology,CANNOT GET ACCESS,,Hemorrhagic shock,Potassium,293230
186,Ultrastructural Changes of the Human Pancreas in Acute Shock,http://www.sciencedirect.com/science/article/pii/S034403388580203X/pdfft?md5=20330bad1edecbd9bbb03bedaa662e26&pid=1-s2.0-S034403388580203X-main.pdf,10.1016/S0344-0338(85)80203-X,5/31/85,Pathology - Research and Practice,G. Hegewald & A. Nikulin & E. Gmaz-Nikulin & P. Plamenac & G. BÃ_renwald,Research article,Hemorrhagic shock,Fibrinogen,53051
187,50 Years Ago in <ce:italic>T</ce:italic><ce:small-caps><ce:italic>he</ce:italic></ce:small-caps><ce:italic>J</ce:italic><ce:small-caps><ce:italic>ournal of</ce:italic></ce:small-caps><ce:italic>P</ce:italic><ce:small-caps><ce:italic>ediatrics</ce:italic></ce:small-caps>: Heparin Therapy in Fulminant Meningococcemia,http://www.sciencedirect.com/science/article/pii/S0022347619303130/pdfft?md5=d941ec7b0476d83b272b9d26afca43eb&pid=1-s2.0-S0022347619303130-main.pdf,10.1016/j.jpeds.2019.03.023,9/30/19,The Journal of Pediatrics,Elizabeth Dorn & Philip Toltzis,Short communication,Disseminated intravascular coagulation,(NO),251729
188,Laparoscopic Colorectal Surgery: Indications and Techniques,http://www.sciencedirect.com/science/article/pii/S0149794404001709/pdfft?md5=4b398078b9d7e83557cd8fe2ad104bf8&pid=1-s2.0-S0149794404001709-main.pdf,10.1016/j.cursur.2004.08.016,6/30/05,Current Surgery,Nelson L. Jenkins & J. Scott Roth & James O. Johnson & Walter E. Pofahl,Research article,Blood loss,Neutrophils,20718
189,Pregnancy outcome after large loop excision of the cervical transformation zone,http://www.sciencedirect.com/science/article/pii/000293789390633T/pdfft?md5=c5c4bc943d7f7c738e3d14ffc7e58dab&pid=1-s2.0-000293789390633T-main.pdf,10.1016/0002-9378(93)90633-T,9/30/93,American Journal of Obstetrics and Gynecology,P. I. Blomfield & J. Buxton & J. Dunn & D. M. Luesley,Research article,Blood loss,Neutrophils,17825
190,Traumatic Retinal Pigment Epithelial Edema,http://www.sciencedirect.com/science/article/pii/0002939479907451/pdfft?md5=22b907f02d1aa3e401db6e970658e4ce&pid=1-s2.0-0002939479907451-main.pdf,10.1016/0002-9394(79)90745-1,7/31/79,American Journal of Ophthalmology,Thomas R. Friberg,Research article,Blunt trauma,Sodium,24613
191,Contents volume 10 (1982/83),http://www.sciencedirect.com/science/article/pii/0300957283900369/pdfft?md5=96f60323a9ccb01b94305ef40c270228&pid=1-s2.0-0300957283900369-main.pdf,10.1016/0300-9572(83)90036-9,8/31/83,Resuscitation,CANNOT GET ACCESS,,Hemorrhagic shock,Parameters,307979
192,"Liver transplantation: Experience at King Fahad National Guard Hospital, Riyadh, Saudi Arabia",http://www.sciencedirect.com/science/article/pii/S0041134597007136/pdfft?md5=db4a4e968f287a27ad1defd0cc09eebc&pid=1-s2.0-S0041134597007136-main.pdf,10.1016/S0041-1345(97)00713-6,11/30/97,Transplantation Proceedings,M. Al Sebayel & A. T. Kizilisik & C. Ramirez & I. Altraif & A. Q. Abdulla,Research article,Hemorrhagic shock,(NO),233190
193,Intravitale und pathologisch-anatomische Beobachtungen beim Verbrennungsschock des Kaninchens,http://www.sciencedirect.com/science/article/pii/S000581657580103X/pdfft?md5=11681b17e64b727f2e4dd0acfc506252&pid=1-s2.0-S000581657580103X-main.pdf,10.1016/S0005-8165(75)80103-X,12/31/75,BeitrÃ_ge zur Pathologie,M. Hagedorn & B. Pfrieme & CH. Mittermayer & W. Sandritter,Research article,Hemorrhagic shock,Pathologic,318215
194,Forensic application of Epstein-Barr virus genotype: Correlation between viral genotype and geographical area,http://www.sciencedirect.com/science/article/pii/S0166093407003059/pdfft?md5=e980fda6a96af3e5690f5ec2365a3efb&pid=1-s2.0-S0166093407003059-main.pdf,10.1016/j.jviromet.2007.08.010,1/31/08,Journal of Virological Methods,Hiroshi Ikegaya & Hisako Motani & Koichi Sakurada & Keita Sato & Mineo Yoshino,Research article,Hemorrhagic shock,Pathologic,317259
195,Emergency Surgery After Saphenous Vein Graft Perforation Complicated by Catheter Balloon Entrapment and <em>Hemorrhagic</em> <em>Shock</em>,http://www.sciencedirect.com/science/article/pii/S0003497508005122/pdfft?md5=ced9a6fc4e2d191926397b509897d38d&pid=1-s2.0-S0003497508005122-main.pdf,10.1016/j.athoracsur.2008.02.097,9/30/08,The Annals of Thoracic Surgery,Roberto Lorusso & Giuseppe De Cicco & Federica Ettori & Salvatore Curello & Carlo Fucci,Short communication,Hemorrhagic shock,(NO),228947
196,Reasonable surgery for thoracic neuroblastoma in infants and children,http://www.sciencedirect.com/science/article/pii/S0022522319410714/pdfft?md5=36063bdbdb3558a0bd0a72920db5139f&pid=1-s2.0-S0022522319410714-main.pdf,10.1016/S0022-5223(19)41071-4,10/31/78,The Journal of Thoracic and Cardiovascular Surgery,Philip W. Catalano & William A. Newton & Thomas E. Williams & H. William Clatworthy & James W. Kilman,Research article,Hemorrhagic shock,Diagnosis,33667
197,Tertiary cytoreduction in patients with recurrent ovarian carcinoma,http://www.sciencedirect.com/science/article/pii/S0090825804005591/pdfft?md5=40452c683d24a4c6933fd0f323355d46&pid=1-s2.0-S0090825804005591-main.pdf,10.1016/j.ygyno.2004.07.033,10/31/04,Gynecologic Oncology,Mario M. Leitao & Steven Kardos & Richard R. Barakat & Dennis S. Chi,Research article,Disseminated intravascular coagulation,Independent predictors,43879
